"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 21 22:12:15 CET 2025","Fri Feb 21 22:12:37 CET 2025","21981","ui_tests","test_task1","","","","test_pricing",""
"passed","Fri Feb 21 22:11:51 CET 2025","Fri Feb 21 22:12:13 CET 2025","21563","ui_tests","test_task1","","","","test_schedule_a_tour",""
